"MODEL           ","                "
"MAQUINA         ","MC#01   "
"INFORME         ","PLU         "
"FICHERO         ","FILE004"
"MODO            ","X   "
"CONTADOR ZETAS  ","0000"
"FECHA           ","2018-12-07"
"HORA            ","17:00"

"REGISTRO        ","DESCRIPTOR      ","CANTIDAD        ","IMPORTE         "
"0325","PITILLO NEON","0","0"
"0326","PITILLO CART","0","0"
"0327","PITILLO ECO ","0","0"
"0328","PITI CA ECO ","0","0"
"0329","PITILLOBOLSA","0","0"
"0330","MEZCLADOR   ","0","0"
"0331","MEZCLADOR   ","0","0"
"0332","BM 020      ","0","0"
"0333","BM 030      ","0","0"
"0334","BM 040      ","0","0"
"0335","BM 045      ","0","0"
"0336","BM 055      ","0","0"
"0337","MOLDE OND   ","0","0"
"0338","BM 070      ","0","0"
"0339","BM 100      ","0","0"
"0340","2 OZX100 AC ","0","0"
"0341","4 OZX50 AC  ","0","0"
"0342","9 OZX50 AC  ","0","0"
"0343","14 OZX50 AC ","0","0"
"0344","0.5 X100 AJ ","0","0"
"0345","1 1/2 X100AJ","0","0"
"0346","7 OZ X50 AJ ","0","0"
"0347","9 OZX50 AJ  ","0","0"
"0348","3.5 OZX50WAW","0","0"
"0349","9OZX50 WAW  ","1","3,000"
"0350","14OZX50 WAW ","0","0"
"0351"," 3.5 X6     ","0","0"
"0352"," 5X10       ","0","0"
"0353","  6X15      ","0","0"
"0354","   8X15     ","0","0"
"0355","  10X15     ","0","0"
"0356","   9X20     ","0","0"
"0357","  13X20     ","0","0"
"0358","  17X19     ","0","0"
"0359","   15X30    ","0","0"
"0360","  20X30     ","0","0"
"0361","TRANS12.5ANT","0","0"
"0362","TRANS15CMANT","1","11,000"
"0363","TRANS30CMANT","0","0"
"0364","TRANS45CMANT","0","0"
"0365","TRANS50CMANT","0","0"
"0366","TRANS25CMDIS","0","0"
"0367","TRANS50CMDIS","0","0"
"0368","TRANS50CMDIS","2","64,000"
"0369","NEG20 25CMAN","0","0"
"0370","NEG20 50CMAN","0","0"
"0371","NEG20 25CMDI","0","0"
"0372","NEG20 50CMDI","0","0"
"0373","CLB12X400MTS","0","0"
"0374","CLB312X500MT","0","0"
"0375","CLB312X900MT","0","0"
"0376","CLB312X1000M","0","0"
"0377","CLB312X2000M","0","0"
"0378","CLB512X1000M","0","0"
"0379","CLB512X2000M","0","0"
"0380","GRAPA       ","1","7,500"
"0381","CINPEL20X500","0","0"
"0382","PNC3AMA24X50","0","0"
"0383","C3AMA 48X50 ","0","0"
"0384","C3AMA 72X50 ","0","0"
"0385","C3AMA 96X50 ","0","0"
"0386","POLI12X20 CO","0","0"
"0387","12X50 COL   ","0","0"
"0388","24X100 COL  ","0","0"
"0389","48X100 COL  ","0","0"
"0390","36X100 COL  ","0","0"
"0391","60X100 COL  ","0","0"
"0392","48X200 COL  ","0","0"
"0393","72X100      ","0","0"
"0394","96X50       ","0","0"
"0395","12X100 CLR  ","0","0"
"0396","24X100      ","0","0"
"0397","48X100 BCA  ","0","0"
"0398","48X100 AMA  ","0","0"
"0399","48X100 ROJO ","0","0"
"0400","48X100 VERDE","0","0"
"0401","48X100 AZUL ","0","0"
"0402","72X100 VERDE","0","0"
"0403","48X50 P     ","0","0"
"0404","48X100 P    ","0","0"
"0405","48X200 P    ","0","0"
"0406","72X100 P    ","0","0"
"0407","48X100 CA P ","0","0"
"0408","24X100 WA   ","0","0"
"0409","48X100 WA   ","1","4,000"
"0410","72X100 WA   ","0","0"
"0411","96X100 WA   ","0","0"
"0412","53380 48X100","0","0"
"0413","53380 24X100","0","0"
"0414","53380 48X200","0","0"
"0415","12X20 COLBON","0","0"
"0416","12X24 COLBON","0","0"
"0417","18X40 COLBON","0","0"
"0418","24X40 COLBON","0","0"
"0419","48X40 COLBON","0","0"
"0420","12X40 T4319 ","0","0"
"0421","18X40 T4349 ","0","0"
"0422","24X40 T4349 ","0","0"
"0423","48X40 T4349 ","0","0"
"0424","12X40 3MF3  ","0","0"
"0425","18X40 3M3F  ","0","0"
"0426","24X40 3M3F  ","0","0"
"0427","36X40 3M3F  ","0","0"
"0428","48X40 3M3F  ","0","0"
"0429","12X55 VERDE ","0","0"
"0430","24X55 VERDE ","0","0"
"0431","48X55 VERDE ","0","0"
"0432","101+18X40   ","0","0"
"0433","101+24X40   ","0","0"
"0434","6MX40M      ","0","0"
"0435","4965CDBL6X50","0","0"
"0436","4965 12X50  ","0","0"
"0437","4965 18X50  ","0","0"
"0438","4965 25X50  ","0","0"
"0439","SOCO 12X50  ","0","0"
"0440","SOCO 18X50  ","0","0"
"0441","SOCO 12X5   ","0","0"
"0442","SOCO 18X5   ","0","0"
"0443","SOCO 24X50  ","0","0"
"0444","4957 12X25  ","0","0"
"0445","4957 18X25  ","0","0"
"0446","603  12X25  ","0","0"
"0447","603  18X25  ","0","0"
"0448","TESA  12X25 ","0","0"
"0449","SOCO  12X5  ","0","0"
"0450","SOCO  18X5  ","0","0"
"0451","FANTAPE12X50","0","0"
"0452","TISSUSO12X50","0","0"
"0453","TISSUSO24X50","0","0"
"0454","56389EP50X50","0","0"
"0455","4663PRO50X48","0","0"
"0456","56389 50X25 ","0","0"
"0457","GRIS 48X10  ","0","0"
"0458","ROJO 48X30  ","0","0"
"0459","VERDE 24X50 ","0","0"
"0460","VERDE 48X50 ","0","0"
"0461","NEGRA 48X50 ","0","0"
"0462","AMARILL48X30","0","0"
"0463","AMARILL72X33","0","0"
"0464","BLANCO 48X33","0","0"
"0465","IMPRESA12X1 ","0","0"
"0466","DISPESAD 2  ","0","0"
"0467","DISPENSA 3  ","0","0"
"0468","12X150 SOCO ","0","0"
"0469","12X200 TESA ","0","0"
"0470","ROJO 12X200 ","0","0"
"0471","AMARI 12X200","0","0"
"0472","ROJO 12X200 ","0","0"
"0473","AZUL 12X200 ","0","0"
"0474","48X5 NEGRA  ","0","0"
"0475","FOTO 50X25NG","0","0"
"0476","8X12        ","0","0"
"0477","7X15        ","0","0"
"0478","9X15        ","0","0"
"0479","20X25       ","0","0"
"0480","18X30       ","0","0"
"0481","850 CM      ","0","0"
"0482","120CM       ","0","0"
"0483","2 LITROS    ","0","0"
"0484","4 LITROS    ","0","0"
"0485","7 LITROS    ","0","0"
"0486","10 LITROS   ","1","11,000"
"0487","20 LITROS   ","0","0"
"0488","40 LITROS   ","0","0"
"0489","ENCENDEDOR  ","0","0"
"0490","BASE CAFETER","0","0"
"0491","VINIPEL6X200","0","0"
"0492","TRAN1.50CLB4","2","12,000"
"0493","NEO 1.50CLB4","0","0"
"0494","RECU1.50CLB4","0","0"
"0495","GRANDE 150  ","0","0"
"0496","PEQUE¥A 150 ","4","5,200"
"0497","1.20 METROS ","2","3,800"
"0498","1.30 METROS ","0","0"
"0499","GUANTE      ","1","1,000"
"0500","TAPABOCAX50 ","0","0"
"0501","GORROX50    ","0","0"
"0502","TAPABOCAX1  ","1","500"
"0503","GORROX1     ","1","500"
"0504","PH ECO      ","0","0"
"0505","PH B/CO     ","0","0"
"0506","COLBON MADER","0","0"
"0507","PEGA STICK  ","0","0"
"0508","CIN A NEGRA ","0","0"
"0509","CIN A BLANCA","0","0"
"0510","CIN A COLOR ","0","0"
"0511","PLU0511     ","0","0"
"0512","PLU0512     ","0","0"
"0513","PLU0513     ","0","0"
"0514","PLU0514     ","0","0"
"0515","PLU0515     ","0","0"
"0516","PLU0516     ","0","0"
"0517","PLU0517     ","0","0"
"0518","PLU0518     ","0","0"
"0519","PLU0519     ","0","0"
"0520","PLU0520     ","0","0"
"0521","PLU0521     ","0","0"
"0522","PLU0522     ","0","0"
"0523","PLU0523     ","0","0"
"0524","PLU0524     ","0","0"
"0525","PLU0525     ","0","0"
"0526","PLU0526     ","0","0"
"0527","PLU0527     ","0","0"
"0528","PLU0528     ","0","0"
"0529","PLU0529     ","0","0"
"0530","PLU0530     ","0","0"
"0531","PLU0531     ","0","0"
"0532","PLU0532     ","0","0"
"0533","PLU0533     ","0","0"
"0534","PLU0534     ","0","0"
"0535","PLU0535     ","0","0"
"0536","PLU0536     ","0","0"
"0537","PLU0537     ","0","0"
"0538","PLU0538     ","0","0"
"0539","PLU0539     ","0","0"
"0540","PLU0540     ","0","0"
"0541","PLU0541     ","0","0"
"0542","PLU0542     ","0","0"
"0543","PLU0543     ","0","0"
"0544","PLU0544     ","0","0"
"0545","PLU0545     ","0","0"
"0546","PLU0546     ","0","0"
"0547","PLU0547     ","0","0"
"0548","PLU0548     ","0","0"
"0549","PLU0549     ","0","0"
"0550","PLU0550     ","0","0"
"0551","PLU0551     ","0","0"
"0552","PLU0552     ","0","0"
"0553","PLU0553     ","0","0"
"0554","PLU0554     ","0","0"
"0555","PLU0555     ","0","0"
"0556","PLU0556     ","0","0"
"0557","PLU0557     ","0","0"
"0558","PLU0558     ","0","0"
"0559","PLU0559     ","0","0"
"0560","PLU0560     ","0","0"
"0561","PLU0561     ","0","0"
"0562","PLU0562     ","0","0"
"0563","PLU0563     ","0","0"
"0564","PLU0564     ","0","0"
"0565","PLU0565     ","0","0"
"0566","PLU0566     ","0","0"
"0567","PLU0567     ","0","0"
"0568","PLU0568     ","0","0"
"0569","PLU0569     ","0","0"
"0570","PLU0570     ","0","0"
"0571","PLU0571     ","0","0"
"0572","PLU0572     ","0","0"
"0573","PLU0573     ","0","0"
"0574","PLU0574     ","0","0"
"0575","PLU0575     ","0","0"
"0576","PLU0576     ","0","0"
"0577","PLU0577     ","0","0"
"0578","PLU0578     ","0","0"
"0579","PLU0579     ","0","0"
"0580","PLU0580     ","0","0"
"0581","PLU0581     ","0","0"
"0582","PLU0582     ","0","0"
"0583","PLU0583     ","0","0"
"0584","PLU0584     ","0","0"
"0585","PLU0585     ","0","0"
"0586","PLU0586     ","0","0"
"0587","PLU0587     ","0","0"
"0588","PLU0588     ","0","0"
"0589","PLU0589     ","0","0"
"0590","PLU0590     ","0","0"
"0591","PLU0591     ","0","0"
"0592","PLU0592     ","0","0"
"0593","PLU0593     ","0","0"
"0594","PLU0594     ","0","0"
"0595","PLU0595     ","0","0"
"0596","PLU0596     ","0","0"
"0597","PLU0597     ","0","0"
"0598","PLU0598     ","0","0"
"0599","PLU0599     ","0","0"
"0600","PLU0600     ","0","0"
"0601","PLU0601     ","0","0"
"0602","PLU0602     ","0","0"
"0603","PLU0603     ","0","0"
"0604","PLU0604     ","0","0"
"0605","PLU0605     ","0","0"
"0606","PLU0606     ","0","0"
"0607","PLU0607     ","0","0"
"0608","PLU0608     ","0","0"
"0609","PLU0609     ","0","0"
"0610","PLU0610     ","0","0"
"0611","PLU0611     ","0","0"
"0612","PLU0612     ","0","0"
"0613","PLU0613     ","0","0"
"0614","PLU0614     ","0","0"
"0615","PLU0615     ","0","0"
"0616","PLU0616     ","0","0"
"0617","PLU0617     ","0","0"
"0618","PLU0618     ","0","0"
"0619","PLU0619     ","0","0"
"0620","PLU0620     ","0","0"
"0621","PLU0621     ","0","0"
"0622","PLU0622     ","0","0"
"0623","PLU0623     ","0","0"
"0624","PLU0624     ","0","0"
"0625","PLU0625     ","0","0"
"0626","PLU0626     ","0","0"
"0627","PLU0627     ","0","0"
"0628","PLU0628     ","0","0"
"0629","PLU0629     ","0","0"
"0630","PLU0630     ","0","0"
"0631","PLU0631     ","0","0"
"0632","PLU0632     ","0","0"
"0633","PLU0633     ","0","0"
"0634","PLU0634     ","0","0"
"0635","PLU0635     ","0","0"
"0636","PLU0636     ","0","0"
"0637","PLU0637     ","0","0"
"0638","PLU0638     ","0","0"
"0639","PLU0639     ","0","0"
"0640","PLU0640     ","0","0"
"0641","PLU0641     ","0","0"
"0642","PLU0642     ","0","0"
"0643","PLU0643     ","0","0"
"0644","PLU0644     ","0","0"
"0645","PLU0645     ","0","0"
"0646","PLU0646     ","0","0"
"0647","PLU0647     ","0","0"
"0648","PLU0648     ","0","0"
"0649","PLU0649     ","0","0"
"0650","PLU0650     ","0","0"
"0651","PLU0651     ","0","0"
"0652","PLU0652     ","0","0"
"0653","PLU0653     ","0","0"
"0654","PLU0654     ","0","0"
"0655","PLU0655     ","0","0"
"0656","PLU0656     ","0","0"
"0657","PLU0657     ","0","0"
"0658","PLU0658     ","0","0"
"0659","PLU0659     ","0","0"
"0660","PLU0660     ","0","0"
"0661","PLU0661     ","0","0"
"0662","PLU0662     ","0","0"
"0663","PLU0663     ","0","0"
"0664","PLU0664     ","0","0"
"0665","PLU0665     ","0","0"
"0666","PLU0666     ","0","0"
"0667","PLU0667     ","0","0"
"0668","PLU0668     ","0","0"
"0669","PLU0669     ","0","0"
"0670","PLU0670     ","0","0"
"0671","PLU0671     ","0","0"
"0672","PLU0672     ","0","0"
"0673","PLU0673     ","0","0"
"0674","PLU0674     ","0","0"
"0675","PLU0675     ","0","0"
"0676","PLU0676     ","0","0"
"0677","PLU0677     ","0","0"
"0678","PLU0678     ","0","0"
"0679","PLU0679     ","0","0"
"0680","PLU0680     ","0","0"
"0681","PLU0681     ","0","0"
"0682","PLU0682     ","0","0"
"0683","PLU0683     ","0","0"
"0684","PLU0684     ","0","0"
"0685","PLU0685     ","0","0"
"0686","PLU0686     ","0","0"
"0687","PLU0687     ","0","0"
"0688","PLU0688     ","0","0"
"0689","PLU0689     ","0","0"
"0690","PLU0690     ","0","0"
"0691","PLU0691     ","0","0"
"0692","PLU0692     ","0","0"
"0693","PLU0693     ","0","0"
"0694","PLU0694     ","0","0"
"0695","PLU0695     ","0","0"
"0696","PLU0696     ","0","0"
"0697","PLU0697     ","0","0"
"0698","PLU0698     ","0","0"
"0699","PLU0699     ","0","0"
"0700","PLU0700     ","0","0"
"0701","PLU0701     ","0","0"
"0702","PLU0702     ","0","0"
"0703","PLU0703     ","0","0"
"0704","PLU0704     ","0","0"
"0705","PLU0705     ","0","0"
"0706","PLU0706     ","0","0"
"0707","PLU0707     ","0","0"
"0708","PLU0708     ","0","0"
"0709","PLU0709     ","0","0"
"0710","PLU0710     ","0","0"
"0711","PLU0711     ","0","0"
"0712","PLU0712     ","0","0"
